序号,代码,名称,最新价 2026.05.08,涨跌幅(%) 2026.05.08,市净率PB(LF) 2026.05.08,市场码,市场名,市盈率(TTM) 2026.05.08,市盈率估值状态 2026.05.08,指数小类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额 2026.05.08,总市值(元) 2026.05.08
340,399695,深证节能,3701.66,-1.14,3.60,0,SZ,37.12,估值较低,深证指数,-42.76,3764.97,3692.72,0.00,0.95,62.12亿,2127.06亿,7.51万亿
341,970049,深证数字交通,4363.95,1.20,3.60,0,SZ,47.84,估值中等,深证指数,51.56,4366.50,4281.48,0.00,0.97,8.68亿,217.15亿,9282.66亿
342,470049,深证数字交通R,4660.28,1.24,3.60,0,SZ,47.84,估值中等,深证指数,56.89,4663.01,4572.21,0.00,0.97,8.68亿,217.15亿,9282.66亿
343,931470,SHS云计算人民币,4128.15,-0.09,3.60,2,CSI,25.93,估值较低,中证指数,-3.54,4154.89,4076.03,0.00,1.17,29.83亿,1403.57亿,9.30万亿
344,H30065,AMAC电气,8022.15,-0.62,3.60,2,CSI,40.24,估值较低,中证指数,-50.23,8092.90,7998.32,0.00,1.09,95.30亿,2438.67亿,8.69万亿
345,H30552,沪港深通TMT人民币,6072.49,-0.17,3.60,2,CSI,40.49,估值较低,中证指数,-10.04,6079.31,5995.72,0.00,1.14,324.58亿,1.11万亿,39.05万亿
346,930743,中证生科,3229.09,-0.93,3.59,2,CSI,54.26,估值较低,中证指数,-30.24,3266.18,3225.80,0.00,1.09,8.45亿,276.59亿,2.34万亿
347,931524,SHS科技龙头,2813.86,-0.48,3.59,2,CSI,28.59,估值较低,中证指数,-13.43,2817.52,2789.34,0.00,1.05,43.22亿,2033.75亿,16.23万亿
348,931234,长三角示范区50,2929.35,0.90,3.59,2,CSI,36.64,估值中等,中证指数,26.18,2937.37,2867.74,0.00,1.09,13.54亿,452.19亿,9369.52亿
349,801230,综合(申万),5192.11,-4.07,3.59,62,SWI,154.84,估值较低,申万一级行业,-220.03,5402.11,5173.92,0.00,1.14,7.36亿,134.27亿,2109.02亿
350,399993,CSWD生科,2570.92,-0.53,3.59,0,SZ,88.19,估值较低,深证指数,-13.71,2594.08,2565.24,0.00,1.04,9.91亿,258.88亿,2.00万亿
351,931480,线上消费,862.30,-0.24,3.58,2,CSI,91.02,估值较低,中证指数,-2.11,879.91,861.59,0.00,1.26,38.06亿,634.16亿,1.16万亿
352,931523,SHS动漫游戏,1015.12,1.13,3.58,2,CSI,35.27,估值中等,中证指数,11.38,1024.45,1003.47,0.00,1.07,9.88亿,264.30亿,4457.83亿
